LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size
1.0,1.0,0.0,0.1,124,10,7.0667,0.1135,229
1.0,1.0,0.0,0.1,124,11,8.1,0.1661,277
1.0,1.0,0.0,0.1,124,12,7.4667,0.123,252
1.0,1.0,0.0,0.1,124,13,7.6,0.1351,259
1.0,1.0,0.0,0.1,124,14,8.2333,0.1119,268
1.0,1.0,0.0,0.1,124,15,6.7333,0.1121,223
1.0,1.0,0.0,0.1,124,16,6.3333,0.1204,216
1.0,1.0,0.0,0.1,124,17,7.0,0.0848,224
1.0,1.0,0.0,0.1,124,18,7.5,0.1129,248
1.0,1.0,0.0,0.1,124,19,7.0667,0.144,243
1.0,1.0,0.0,0.1,124,20,7.6667,0.1489,262
1.0,1.0,0.0,0.1,124,21,7.3667,0.1462,253
1.0,1.0,0.0,0.1,124,22,7.1667,0.1488,242
1.0,1.0,0.0,0.1,124,23,6.2667,0.1321,212
0.1,10.0,0.0,0.1,64,0,6.7,0.1841,239
0.1,10.0,0.0,0.1,64,1,6.6333,0.2016,243
0.1,10.0,0.0,0.1,64,2,5.6667,0.2095,210
0.1,10.0,0.0,0.1,64,3,7.2333,0.1846,260
0.1,10.0,0.0,0.1,64,4,5.1333,0.1657,181
0.1,10.0,0.0,0.1,64,5,5.6333,0.19,200
0.1,10.0,0.0,0.1,64,6,6.4333,0.1872,235
0.1,10.0,0.0,0.1,64,7,6.4333,0.1983,237
0.1,10.0,0.0,0.1,64,8,5.9333,0.2,215
0.1,10.0,0.0,0.1,64,9,6.9667,0.1564,243
0.1,10.0,0.0,0.1,64,10,4.8333,0.2123,179
0.1,10.0,0.0,0.1,64,11,6.1333,0.2241,232
0.1,10.0,0.0,0.1,64,12,4.6667,0.2069,174
0.1,10.0,0.0,0.1,64,13,5.6333,0.1872,203
0.1,10.0,0.0,0.1,64,14,6.1333,0.1928,223
0.1,10.0,0.0,0.1,64,15,4.0333,0.2133,150
0.1,10.0,0.0,0.1,64,16,5.0,0.1967,183
0.1,10.0,0.0,0.1,64,17,5.4,0.1762,193
0.1,10.0,0.0,0.1,64,18,5.3333,0.1832,191
0.1,10.0,0.0,0.1,64,19,6.3,0.1614,223
0.1,10.0,0.0,0.1,64,20,7.6333,0.1467,259
0.1,10.0,0.0,0.1,64,21,5.2667,0.2113,194
0.1,10.0,0.0,0.1,64,22,6.7,0.1795,234
0.1,10.0,0.0,0.1,64,23,4.2667,0.2256,164
1.0,10.0,0.01,0.001,150,0,9.0,0.1524,315
1.0,10.0,0.01,0.001,150,1,9.7333,0.157,344
1.0,10.0,0.01,0.001,150,2,9.0333,0.1667,324
1.0,10.0,0.01,0.001,150,3,9.6333,0.1355,332
1.0,10.0,0.01,0.001,150,4,7.8333,0.1034,261
1.0,10.0,0.01,0.001,150,5,8.8333,0.1373,306
1.0,10.0,0.01,0.001,150,6,9.7667,0.152,342
1.0,10.0,0.01,0.001,150,7,9.4333,0.1587,334
1.0,10.0,0.01,0.001,150,8,8.8333,0.1624,314
1.0,10.0,0.01,0.001,150,9,9.9333,0.1302,338
1.0,10.0,0.01,0.001,150,10,8.2667,0.1389,288
1.0,10.0,0.01,0.001,150,11,8.6667,0.1683,309
1.0,10.0,0.01,0.001,150,12,8.4,0.1404,292
1.0,10.0,0.01,0.001,150,13,7.7667,0.1519,270
1.0,10.0,0.01,0.001,150,14,9.7,0.1365,337
1.0,10.0,0.01,0.001,150,15,7.8333,0.1328,271
1.0,10.0,0.01,0.001,150,16,8.4667,0.125,288
1.0,10.0,0.01,0.001,150,17,8.1,0.1388,281
1.0,10.0,0.01,0.001,150,18,8.6333,0.1342,298
1.0,10.0,0.01,0.001,150,19,10.1333,0.1243,346
1.0,10.0,0.01,0.001,150,20,10.4333,0.125,352
1.0,10.0,0.01,0.001,150,21,9.0333,0.1401,314
1.0,10.0,0.01,0.001,150,22,9.2,0.1495,321
1.0,10.0,0.01,0.001,150,23,8.0667,0.1479,284
0.1,1.0,0.001,0.1,48,0,7.9,0.1362,257
0.1,1.0,0.001,0.1,48,1,7.4333,0.1538,247
0.1,1.0,0.001,0.1,48,2,7.6667,0.15,260
0.1,1.0,0.001,0.1,48,3,8.0,0.1279,258
0.1,1.0,0.001,0.1,48,4,7.8333,0.1063,254
0.1,1.0,0.001,0.1,48,5,7.8333,0.126,262
0.1,1.0,0.001,0.1,48,6,8.1667,0.1012,257
0.1,1.0,0.001,0.1,48,7,7.5333,0.148,250
0.1,1.0,0.001,0.1,48,8,8.1667,0.1255,263
0.1,1.0,0.001,0.1,48,9,8.4,0.1031,262
0.1,1.0,0.001,0.1,48,10,8.7667,0.0772,272
