LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size,"
Hyperparameter set"
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,13,1.2,0.7188,64,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,14,0.7,0.7143,42,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,15,0.6333,0.8302,53,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,16,0.5667,0.8197,61,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,17,0.9667,0.7586,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,18,0.1333,0.9808,52,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,19,0.7333,0.7869,61,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,20,0.9333,0.6897,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,21,1.2,0.6567,67,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,22,0.7333,0.7966,59,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,3,23,0.2667,0.9423,52,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,0,1.4333,0.5625,64,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,1,0.3667,0.8727,55,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,2,0.0667,0.9804,51,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,3,0.7667,0.7895,57,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,4,0.4667,0.8085,47,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,5,0.5,0.8986,69,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,6,0.9,0.7,60,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,7,1.4,0.6269,67,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,8,0.5333,0.8571,56,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,9,0.1333,0.9796,49,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,10,0.9,0.7931,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,11,0.2333,0.9508,61,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,12,0.9667,0.7414,58,STE_Logistic_84
1.0,0.177138167187175,0.0216881787013694,0.000113389232350646,2,13,1.1,0.7313,67,STE_Logistic_84
